,English,German,Arabic
5542,The noise was quite loud.,Der Lärm war ziemlich laut.,كانت الضّجّة قويّة جدّا.
5543,global voices contributor julian ortega martinez julian ortegam es from colombia confessed that he travels to see his loved one.,"globale Stimmen Beitrag julian ortega martinez julian ortegam es aus kolumbien gestand, dass er reist, um seine geliebte ein zu sehen.",المشارك فى الاصوات العالمية جوليان اورتيجا مارتينيز من كولومبيا اعترف انه يحب السفر ليرى من يحب
5544,Someone is at the front door.,Jemand ist an der Haustür.,أحدهم على الباب.
5545,I can't thank you enough.,Ich kann Ihnen nicht genug danken.,لا أستطيع أن أشكركِ بما فيه الكفاية.
5546,Hurry!,Schnell!,تعجّل!
5547,After you.,Nach Ihnen.,من بعدك
5548,Could you give me a ride to the station?,Könntest du mich zum Bahnhof fahren?,هل يمكنك إيصالي إلى المحطة؟
5549,It's not broken.,Es ist nicht kaputt.,إنها ليست مكسورة
5550,Please write down what I am going to say.,"Bitte schreiben Sie auf, was ich sagen werde.",من فضلك اكتب ما سأقوله.
5551,I met her in a coffee shop near the station.,Ich traf sie in einem Café in der Nähe des Bahnhofs.,قابلتها في المقهى القريب من المحطة.
5552,I was given a new jacket.,Ich bekam eine neue Jacke.,أُعطيت معطفاً جديداً.
5553,He is angry with you.,Er ist wütend auf dich.,إنهُ غاضب معكَ.
5554,You should choose a job in relation to your talents and interests.,Sie sollten einen Job in Bezug auf Ihre Talente und Interessen wählen.,يجب عليك أن تختار وظيفة تتعلق بمواهبك واهتماماتك.
5555,"Watch out, the man has a gun.","Vorsicht, der Mann hat eine Waffe.",انتبه، ذاك الرجل معه مسدس.
5556,Tom lived with us for three months.,Tom lebte drei Monate bei uns.,توم عاش معنا لثلاثة اشهر.
5557,The majority of the committee were against the plan.,Die Mehrheit des Ausschusses war gegen den Plan.,أغلبية اللجنة كانت معارضةً للخطة.
5558,You can always ask me for help.,Du kannst mich immer um Hilfe bitten.,يمكنكَ دائماً أن تسألني للمساعدة.
5559,Are you all right?,Alles in Ordnung?,هل أنتَ بخير؟
5560,Sit up straight.,Setz dich gerade hin.,اقعد مستقيم الظهر.
5561,You should have started by now.,Du hättest längst anfangen sollen.,كان عليك أن تكون قد بدأت الآن.
5562,My aunt was pleased with my success.,Meine Tante war zufrieden mit meinem Erfolg.,أُعجبت عمتي بنجاحي.
5563,It's hard being a parent.,"Es ist schwer, ein Elternteil zu sein.",من الصعب أن تكون والداً.
5564,The students learned this poem by heart.,Die Schüler lernten dieses Gedicht auswendig.,حفظ التلاميذ هذه القصيدة عن ظهر قلب.
5565,He was covered in mud from head to foot.,Er war von Kopf bis Fuß mit Schlamm bedeckt.,غطاه الوحل من رأسه حتى قدميه.
5566,I'm going to leave school.,Ich werde die Schule verlassen.,سأترك المدرسة.
5567,This is your key.,Das ist dein Schlüssel.,ها هو مفتاحك.
5568,slutwalk brazil takes brazilian cities global voices.,Schlampenwalk Brasilien nimmt brasilianische Städte globale Stimmen.,مسيرة عاهرات تجوب المدن البرازيلية الاصوات العالمية
5569,This will cost €30.,Das kostet 30 €.,سيكلفك ذلك ثلاثين يورو.
5570,tactical technology collective s security in a box a comprehensive set of digital security tools tailored for activists available in multiple languages.,taktische Technologie kollektive Sicherheit in einer Box eine umfassende Reihe von digitalen Sicherheits-Tools für Aktivisten in mehreren Sprachen.,عدة الامان بالعربية ادوات وممارسات للامن الرقمي اعدت خصيصا للنشطاء متاحة بعدة لغات
5571,I love you.,Ich liebe dich.,أنا أحبك.
5572,I'll take some X-rays of your teeth.,Ich nehme ein paar Röntgenaufnahmen von Ihren Zähnen.,سأخذ أشعة سينية لأسنانك.
5573,We used to swim in this river a lot.,Wir haben oft in diesem Fluss geschwimmt.,كنّا نسبح في النهر.
5574,They believed he was honest.,"Sie glaubten, er sei ehrlich.",صدقوا أنه صادق.
5575,I know I'm wrong.,"Ich weiß, ich liege falsch.",أعلم بأني مخطئ.
5576,wamda summarizes a report on the digital spring or how mena governments should speak the language of social media.,wamda fasst einen Bericht über den digitalen Frühling zusammen oder wie die Regierungen der Mena die Sprache der sozialen Medien sprechen sollten.,المشروع الالكتروني ينشر تقريرا عن اكبر العلامات التجارية على فيسبوك في الشرق الاوسط
5577,The boy washing the car is my brother.,"Der Junge, der das Auto gewaschen hat, ist mein Bruder.",الولد الذي يغسل السيارة هو أخي.
5578,Where were you?,Wo waren Sie?,أين كنت؟
5579,yuzuko horigome and her violin photo used with permission from change org japan.,yuzuko horigome und ihr Geigenfoto mit Erlaubnis von change org japan verwendet.,يوزوكو هوريجوم مع الكمان الخاص بها صورة مستخدمة بتصريح
5580,It's not enough.,Das reicht nicht.,انها ليست كافيه
5581,Earthquakes may occur at any moment.,Erdbeben können jederzeit auftreten.,يمكن أن تحدث الزلازل في أي لحظة.
5582,What do you expect to find here?,Was erwarten Sie hier zu finden?,ماذا تتوقع أن تجد هنا؟
5583,Who doesn't care about money?,Wer interessiert sich nicht für Geld?,من لا يَهمّه المال؟
5584,I know you don't like me.,"Ich weiß, dass du mich nicht magst.",أنا أعلم أنكَ ليس معجباً بي.
5585,My father used to be a strong man.,Mein Vater war früher ein starker Mann.,أبي اعتاد أن يكون رجلاً قوياً.
5586,Why does this always happen to me?,Warum passiert mir das immer?,لماذا يحدث هذا دائماً لي؟
5587,We've already done our work.,Wir haben unsere Arbeit bereits getan.,سبق أن أنهينا عملنا.
5588,the group called fr for a nationwide demonstration on monday august to encourage civil society and the moroccan political elite to open a national debate on measures to reform the system.,"fordert die Gruppe fr zu einer landesweiten Demonstration am Montag august auf, um die Zivilgesellschaft und die morokkanische politische Elite zu ermutigen, eine nationale Debatte über Maßnahmen zur Reform des Systems zu eröffnen.",دعت الحركة للتعبية على المستوى الوطني يوم الاحد من اغسطس اب لحث المجتمع المدني المغربي والساحة السياسية لفتح نقاش وطني حول الاجراءات الواجب اتخاذها لاصلاح النظام
5589,Mother went to town to get some bread.,"Mutter ging in die Stadt, um Brot zu holen.",ذهبت الأم إلى المدينة لجلب بعض الخبز.
5590,I'm one of the good guys.,Ich bin einer der Guten.,أنا أحد الرجال الصالحين.
5591,He has left us.,Er hat uns verlassen.,هو غادرنا.
5592,It's not rocket science.,Das ist keine Raketenwissenschaft.,ليس الأمر صعباً كعلم صناعة الصواريخ.
5593,This makes no sense to me.,Das ergibt für mich keinen Sinn.,هذا لا يبدو لي منطقيا.
5594,How do you feel about that now?,Was hältst du davon?,ما رأيك في ذلك الآن؟
5595,the demonstrations went on peacefully the group pledges to organize more sit ins and roundtables across the country.,"die Demonstrationen gingen friedlich weiter, die Gruppe versprach, mehr Sitze und runde Tische im ganzen Land zu organisieren.",جرت المظاهرات في هدوء وتعد الحركة بتنظيم وقفات جديدة وطاولات مستديرة في كل البلاد
5596,I've done business with Tom before.,Ich habe schon mal Geschäfte mit Tom gemacht.,لقد تعاملت مع توم سابقا.
5597,"Tom got to the station too late, so he missed the train.","Tom kam zu spät zum Bahnhof, so dass er den Zug verpasste.",وصل توم إلى المحطة متأخرا و لذا فاته القطار.
5598,He saved the child at the risk of his own life.,Er rettete das Kind auf Gefahr seines eigenen Lebens.,هو أنقذ الطفل مخاطراً بحياته.
5599,This is a present for you.,Das ist ein Geschenk für dich.,هذه الهدية لك.
5600,Is it really all over?,Ist es wirklich vorbei?,هل انتهى كل شيء حقا؟
5601,An ant can lift more than 50 times its weight.,Eine Ameise kann mehr als das 50-fache ihres Gewichts heben.,تستطيع النملة أن ترفع أكثر من خمسين ضعف وزنها.
5602,unknown kazakhstan photo exhibition ru will open tomorrow in almaty for those who can t attend voxpopuli kz presents some of the most interesting photos from the exhibition.,"unbekannt kasachstan Fotoausstellung ru wird morgen in almaty für diejenigen, die teilnehmen können Voxpopuli kz präsentiert einige der interessantesten Fotos aus der Ausstellung.",يفتتح غدا معرض صور كازاخستان غير المعروفة في مدينة الماتي لمن لا يستطيع الحضور يقدم لنا موقع فوكس بوبلي بعض الصور الممتعة من المعرض
5603,One million people lost their lives in the war.,Eine Million Menschen haben im Krieg ihr Leben verloren.,مليون شخص استُشهدوا في الحرب.
5604,It's time for me to go.,Es ist Zeit für mich zu gehen.,حان وقت ذهابي.
5605,I'm pregnant.,Ich bin schwanger.,أنا حامل.
5606,Green suits you.,Grün steht dir.,يناسبك اللون الأخضر.
5607,I thought you didn't believe in ghosts.,"Ich dachte, du glaubst nicht an Geister.",ظننت أنك لا تؤمن بوجود الأشباح.
5608,It appears to me that you are all mistaken.,"Es scheint mir, dass Sie sich alle irren.",يبدو لي أن جميعكم مخطئون.
5609,She works in marketing.,Sie arbeitet im Marketing.,إنها تعمل في مجال التسويق.
5610,Tom is very interested in jazz.,Tom interessiert sich sehr für Jazz.,توم مهتم جداً في موسيقى الجاز.
5611,in an attempt to establish a common platform for all stakeholders to discuss and debate issues of the internet usage kuwait information technology society hosted the first arab internet governance forum from october.,"in dem Versuch, eine gemeinsame Plattform für alle Beteiligten zu schaffen, um Fragen der Internetnutzung zu diskutieren und zu diskutieren kuwait Informationstechnologiegesellschaft Gastgeber der ersten arabischen Internet-Governance-Forum aus Oktober.",في محاولة لانشاء منصة مشتركة تجمع بين جميع اصحاب الشان لمناقشة شيون استخدام الانترنت استضافت الجمعية الكويتية لتقنية المعلومات المنتدى العربي الاول لحوكمة الانترنت من الى اكتوبر تشرين الاول
